,"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
8669,-2.294517721916287,-2.9260196611426905,-5.3751984108839945,-3.7840696411176853,-5.170804046249077,-5.921938484459372,-5.442187736967739,-5.8499649848342825,-3.0470255679415414
8670,-1.3238831009984935,-6.907755278982137,-3.9883642386848686,-2.965397073757918,-4.236369062251518,-2.5751815280277857,-3.9675357153584048,-5.729100282640491,-5.107697006939387
8671,-3.125157820994449,-4.875667433685772,0.0,-4.507136445716726,-5.482240204708965,-6.214608098422191,-6.209620556911153,-9.028018815182229,-3.6997381974488124
8672,-6.907755278982137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8673,-2.678588490952591,-4.09474464224344,-6.907755278982137,-4.273710491190423,-5.179645836830538,-4.935064107249182,-6.907755278982137,-6.907755278982137,-3.147951486531502
8674,-1.2946271725940668,-6.907755278982137,-6.907755278982137,-1.4261168553070622,-3.4024982273952036,-3.522010001878903,-4.081625789814326,-4.3162388941358785,-2.6775694938486234
8675,-2.500304591968097,-3.609698656239495,-6.907755278982137,-4.05013630755778,-5.046780740732609,-6.907755278982137,-6.907755278982137,-6.907755278982137,-3.4420193761824103
8676,-2.3000882127954583,-3.6789291232607684,-6.907755278982137,-3.312362667961665,-4.499009990159701,-4.884884088790695,-6.907755278982137,-6.907755278982137,-2.900422093749666
8677,0.9479831786066447,0.0,-6.907755278982137,-0.2822302937735357,-3.979231755121596,0.717937349367164,-6.907755278982137,-4.3661532855175915,-6.907755278982137
8678,-3.165905030770368,0.0,-6.8019293197599735,-4.707690300961544,-5.046642182369587,-3.7736240401801058,-8.070801575849485,-6.874563184178144,-5.780214924809162
8679,-2.6697653536192405,0.0,-6.033060313829416,-4.049753169713024,-4.929772220107509,-3.4544884137785195,-6.907755278982137,-6.423929761162776,-5.53442143494591
8680,-3.379650218131059,0.0,-5.61766111981881,-4.0138464156919715,-4.383480828301095,-3.360222341893922,-6.907755278982137,-6.397099774885676,-8.649598606762595
8681,-0.18748687410617507,0.0,-3.0212962656852653,-1.6942335641388167,-3.1510769993037657,-1.8929486968170708,-5.12486838825768,-6.907755278982137,-5.540388927747766
8682,-1.0143694906588385,0.0,-4.017216868306652,-2.729851123661106,-4.944566694126551,-3.4465923161525476,-6.907755278982137,-6.907755278982137,-6.162490144160085
8683,-2.4230103249287613,0.0,-5.76937601933544,-3.798971995276464,-4.193590539827332,-2.749981004029615,-6.907755278982137,-5.857234407414063,-6.722447283538652
8684,-1.2008215746696362,0.0,-3.2073482237085993,-2.2527998241055864,-2.6916097489996695,-0.24193908971968553,0.0,-5.463659335899265,-5.2474698915231714
8685,-0.7567132893103956,-6.907755278982137,0.0,-1.9953959884006167,-3.0203879213275697,-3.610816057831602,-4.880597126935585,-4.254712841321353,-3.388458171074616
8686,-3.664406846210626,0.0,-7.942693030264171,-5.740203170989872,-6.3892683701512265,-3.965287100040991,-6.907755278982137,-7.108735337625476,-5.794083442020124
8687,-0.9498475671093073,-4.462975379341668,0.0,-2.186221553234314,-2.9182308229098326,-3.990161859914179,-6.907755278982137,-4.862856011438166,-3.2776404868578197
8688,-0.49346715746984426,0.0,-6.907755278982137,-2.154725589755193,-4.000034882751359,-3.0987178338744146,-5.807810545080248,-6.907755278982137,-6.907755278982137
8689,-0.03538601501535091,0.0,-4.014244638093149,-1.196833549560368,-2.390538617993035,-1.5229025187065326,-3.278136267600187,-5.291379880847314,-5.579149354492403
8690,-1.342419380507969,0.0,-6.907755278982137,-2.9666141120696476,-4.1330188060609405,-2.0592136871585103,-6.907755278982137,-6.907755278982137,-6.907755278982137
8691,-4.188272018429461,0.0,-7.15439697820003,-7.635579748575925,-8.43907498671885,-5.012289629454703,-7.952093928106741,-6.907755278982137,-6.8535113574295385
8692,1.599791535382295,-6.907755278982137,0.0,-2.703062659591171,-6.907755278982137,0.03729578474369693,0.8771340166729611,-6.907755278982137,-1.6144504542576446
8693,0.08801087732271337,0.0,-6.907755278982137,-1.2043061932271737,-5.683979847360021,-0.22502031132706996,-3.5578511917075324,-4.575611383746547,-6.907755278982137
8694,-2.7488721956224653,0.0,0.0,-4.509860006183766,-5.298317366548036,-5.521460917862246,0.0,0.0,-2.9565115604007097
8695,-3.912023005428146,0.0,-4.8283137373023015,-4.961845129926823,-6.907755278982137,-6.907755278982137,0.0,0.0,-5.115995809754082
8696,-1.5702171992808192,0.0,-2.8473122684357177,-3.2188758248682006,-4.509860006183766,-6.907755278982137,-6.907755278982137,-5.809142990314028,0.0
8697,-3.3813947543659757,0.0,-5.298317366548036,-4.509860006183766,-5.521460917862246,-5.521460917862246,-6.907755278982137,-6.907755278982137,0.0
8698,-2.364460496712133,0.0,-5.298317366548036,-4.199705077879927,-4.8283137373023015,-5.521460917862246,-6.907755278982137,-6.907755278982137,0.0
8699,-2.333044300478754,0.0,-4.8283137373023015,-4.422848629194137,-5.115995809754082,-5.809142990314028,-6.907755278982137,-6.907755278982137,0.0
8700,-4.961845129926823,0.0,-4.8283137373023015,-6.214608098422191,-6.907755278982137,-6.907755278982137,-6.907755278982137,-6.907755278982137,0.0
8701,-3.3813947543659757,0.0,-5.809142990314028,-5.115995809754082,-6.214608098422191,-5.809142990314028,-6.907755278982137,-6.907755278982137,-5.115995809754082
8702,-1.870802676568508,0.0,-4.135166556742356,-4.074541934925921,-4.268697949366879,-5.115995809754082,-6.214608098422191,-6.907755278982137,-3.4420193761824103
8703,-0.9649559038554361,-2.9565115604007097,-2.375155785828881,-1.8773173575897015,-2.703062659591171,-3.6888794541139363,-5.298317366548036,-6.907755278982137,-2.4418471603275536
8704,-1.5511690043101247,0.0,-3.649658740960655,-2.563949857128453,-3.3813947543659757,-3.473768074496991,-6.907755278982137,-6.907755278982137,-2.645075401940822
8705,-1.6766466621275504,0.0,-3.7297014486341915,-2.5902671654458267,-3.3524072174927233,-3.3524072174927233,-6.907755278982137,-6.907755278982137,-3.270169119255751
8706,-1.6194882482876019,0.0,-4.199705077879927,-2.617295837833746,-3.2188758248682006,-3.3524072174927233,-4.8283137373023015,-6.907755278982137,-2.7488721956224653
