,0,1,2,3,4,5,6,7,8
0,"0,06485253737","1,644952835","0,7560884391","0,2906179495","0,1500152012","-0,3798881245","0,6886484343","0,2978855228","1,270345692"
1,"0,6577372215","-0,9681485704","1,356435757","0,8870213251","0,8145085871","0,6190738684","1,132705748","1,239690268","0,6766549817"
2,"0,7793813952","-0,9681485704","1,24147297","0,8546564431","0,8460446452","0,8854527338","1,087976967","1,471640253","0,5776244166"
3,"1,275511149","-0,9681485704","-1,938746545","0,5564817997","0,5386755751","1,366447107","1,227759085","-1,35153609","0,7550293885"
4,"0,6950484006","-0,9681485704","1,214150974","0,9703077518","0,7447059916","0,6239813947","1,422452452","0,8246063549","1,241135749"
5,"0,5332335837","-0,9681485704","1,195513678","0,7755009249","0,6408864749","0,8723598134","1,254267577","0,6439422566","1,297456636"
6,"-1,470947292","1,014476378","-1,938746545","-0,8482735407","-0,5383160109","-1,191650125","-0,2603881681","-1,35153609","0,5776244166"
7,"-1,534921493","0,9784427018","-0,5577400837","-0,8482735407","-0,5383160109","-1,309534628","-1,431794493","-1,35153609","0,5378556188"
8,"-0,00629143928","1,884166231","0,6839925919","0,1744623568","0,007173568712","-0,4748742943","0,598788508","0,1812754864","1,289907295"
9,"-0,2215837189","0,8721703299","0,5487873665","-0,2102288225","0,2417043489","-0,09221121928","0,6951276312","0,3145721239","-0,01015152697"
10,"-0,7497445621","1,383640836","-0,1370067004","-0,525571454","-0,05667697114","-1,367969993","0,009920716866","-0,3091096981","0,636876828"
11,"-0,5665634483","1,010915225","0,2961111549","-0,1002755367","0,2115130104","-0,6106251743","0,163586686","0,1052106985","0,2146890634"
12,"-1,276645829","-0,5730866013","0,373128687","-0,5739731926","-0,6811576434","-0,3659961654","-0,02820584884","-0,1362802699","-0,7061727464"
13,"-0,9740767341","-0,8978318224","-1,938746545","-0,8482735407","-0,882481617","-0,1102342398","-1,431794493","-1,35153609","-1,575293788"
14,"-0,5178332458","1,419037778","0,2453111759","-0,2332522696","-0,15027502","-0,3891639355","0,5830688355","-0,003943113096","0,4788446823"
15,"0,09319178384","1,980103003","0,751430803","0,2228070938","0,4010490834","-0,2498032663","0,3190169954","0,6187784442","1,308658356"
16,"-0,476741699","1,780911895","0,1730672426","-0,3321672924","-0,2568148342","-0,5553616537","0,2061007419","-0,07946260941","0,7446974666"
17,"-0,4056973525","2,047538664","0,02219207807","-0,4795959074","-0,2550361099","-0,9096807131","0,01609912403","-0,3798541528","0,9359708062"
18,"-0,538899989","1,337855713","0,1891191396","-0,1571000493","-0,2161076105","-0,6106749374","-1,431794493","0,1860269958","0,9503616239"
19,"-0,2389596061","2,055702332","0,267875198","0,009612754367","-0,1397350954","-0,715073392","0,3157494574","-1,35153609","1,07031486"
