,"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
3076,-3.4112477175156535,-14.816906777655726,-5.5214609178622185,-4.828313737302287,-5.80914299031399,-6.214608098422136,-6.907755278982026,-36.7368005696771,-4.961845129926808
3077,-1.2658482080440232,-22.91466643783166,-3.8167128256238163,-2.538307426515114,-3.442019376182407,-4.828313737302287,-6.214608098422136,-6.907755278982026,-6.103011446160836
3078,-3.381394754365972,-16.928165816417316,-6.214608098422136,-4.710530701645905,-6.214608098422136,-6.214608098422136,-36.7368005696771,-36.7368005696771,-8.345580341823144
3079,-2.513306124309697,-29.579920918274603,-6.907755278982026,-4.268697949366871,-5.80914299031399,-5.298317366548014,-36.7368005696771,-36.7368005696771,-4.388689029133858
3080,-3.1941832122778266,-10.569685203666907,-6.214608098422136,-4.961845129926808,-6.214608098422136,-5.80914299031399,-6.907755278982026,-6.907755278982026,-4.710530701645905
3081,-3.146555163288572,-28.837350926345334,-6.214608098422136,-4.074541934925914,-4.961845129926808,-5.298317366548014,-36.7368005696771,-6.907755278982026,-4.509860006183756
3082,-2.9004220937496643,-8.407797042329427,-6.214608098422136,-4.961845129926808,-5.298317366548014,-5.80914299031399,-36.7368005696771,-6.907755278982026,-3.540459448995659
3083,-1.0498221244986774,-3.442019376182407,-2.7333680090864982,-1.8971199848858806,-2.63108915996608,-3.506557897319978,-4.60517018598808,-5.80914299031399,-2.253794928824613
3084,-0.9996723408132059,-3.6119184129778037,-2.8134107167600346,-1.8388510767619048,-2.538307426515114,-3.4737680744969874,-4.60517018598808,-6.214608098422136,-2.4651040224918193
3085,-0.06613980250454483,-5.80914299031399,-2.5010360317178826,-1.1394342831883644,-1.8971199848858806,-1.0441241033840396,-4.017383521085966,-4.710530701645905,-2.563949857128452
3086,-1.9661128563728318,-2.847312268435716,-5.298317366548014,-3.575550768806929,-4.961845129926808,-4.828313737302287,-6.907755278982026,-36.7368005696771,-2.364460496712132
3087,-1.2241755116434552,-3.506557897319978,-4.268697949366871,-2.419118909249996,-3.3242363405260242,-2.9759296462578093,-5.5214609178622185,-5.80914299031399,-2.847312268435716
3088,-1.1679623668029027,-4.074541934925914,-4.268697949366871,-2.1541650878757714,-3.506557897319978,-3.146555163288572,-5.5214609178622185,-6.214608098422136,-2.6172958378337445
3089,-0.9038682118755976,-6.214608098422136,-2.563949857128452,-1.5095925774643837,-2.780620893937044,-3.8167128256238163,-3.863232841258709,-5.5214609178622185,-2.2349264445202297
3090,-0.7256703722655051,-36.7368005696771,-2.513306124309697,-1.6607312068216502,-2.2349264445202297,-2.6592600369327766,-3.8167128256238163,-5.115995809754064,-2.63108915996608
3091,0.44276089285186127,-36.7368005696771,-2.055725015062519,-1.3130438993802975,-1.6982691261407155,-0.32434605682337225,-3.3242363405260242,-3.963316299815691,-2.1892564076870413
3092,-1.58963528513792,-2.244316184870069,-4.710530701645905,-3.4112477175156535,-4.961845129926808,-5.115995809754064,-6.214608098422136,-36.7368005696771,-2.2633643798407634
3093,-1.7092582477163107,-3.9120230054281406,-4.422848629194127,-3.101092789211815,-4.509860006183756,-4.135166556742349,-5.5214609178622185,-6.907755278982026,-2.9187712324178605
3094,-0.9137938516755675,-36.7368005696771,-3.540459448995659,-2.551046452292544,-3.146555163288572,-2.244316184870069,-3.540459448995659,-6.214608098422136,-4.422848629194127
3095,-0.35239838717147204,-36.7368005696771,-2.538307426515114,-2.282782465697865,-3.540459448995659,-1.6044503709230606,-3.8167128256238163,-4.509860006183756,-3.7722610630529827
3096,-0.5996568374726061,-3.146555163288572,-2.64507540194082,-1.7092582477163107,-2.9759296462578093,-3.218875824868198,-3.9120230054281406,-4.961845129926808,-2.0635681925235447
3097,-0.2876820724517808,-2.407945608651871,-1.8643301620628898,-3.4112477175156535,-4.710530701645905,-3.963316299815691,-5.115995809754064,-5.298317366548014,-0.8651224452997555
3098,-0.980829253011726,-3.015934980871508,-3.1941832122778266,-1.7660917224794765,-3.0791138824930395,-3.9120230054281406,-4.961845129926808,-6.214608098422136,-2.6036901857779657
3099,-0.9597202898014907,-4.074541934925914,-2.9957322735539886,-1.8388510767619048,-3.218875824868198,-3.6119184129778037,-4.961845129926808,-6.214608098422136,-2.419118909249996
3100,-2.5770219386958044,-3.425125333740375,-5.298317366548014,-4.422848629194127,-36.7368005696771,-36.7368005696771,-36.7368005696771,-36.7368005696771,-2.6882475738060285
3101,-1.5371172508544737,-3.7012268364114793,-3.4112477175156535,-2.673648774384876,-3.506557897319978,-3.688879454113932,-36.7368005696771,-36.7368005696771,-3.057607677272076
3102,-1.69173315516093,-18.008794962627764,-4.5997025667787765,-3.206206421767535,-5.408132232555219,-3.0120649281748864,-5.624047506637317,-8.929393617094851,-3.2304424612396634
3103,-1.2612488721456658,-4.236107354332908,-4.081183991858069,-3.434237235740352,-4.662677923208609,-3.800481630695234,-5.481933428971231,-9.331826792628402,-2.442767123593907
3104,2.701495432131536,-31.081523542379436,-3.146555163288572,-2.268183666276712,-36.7368005696771,2.039647664299317,-36.7368005696771,-2.0690952496256907,-36.7368005696771
3105,-0.6549269677402473,-33.66230059559302,-4.464539056248336,-3.1766548094342357,-3.4337722275943303,-1.2915443381741287,-3.8195349859929895,-5.311605260874949,-36.7368005696771
3106,-1.7998722893386048,-30.395885000709992,-4.228653399835812,-2.822939303226537,-3.5619296728549643,-2.606410097603014,-36.7368005696771,-4.240804888765345,-36.7368005696771
3107,-1.931021536561562,-29.58805485095779,-36.7368005696771,-1.9038089730366772,-4.074541934925914,-3.4737680744969874,-36.7368005696771,-1.431291727050626,-5.298317366548014
3108,-2.796881414808824,-27.587994836777447,-5.80914299031399,-2.9759296462578093,-4.342805921520592,-3.3242363405260242,-5.5214609178622185,-3.015934980871508,-6.214608098422136
3109,-3.7297014486341866,-23.463927955847257,-5.5214609178622185,-3.688879454113932,-5.115995809754064,-3.7722610630529827,-5.298317366548014,-5.80914299031399,-5.80914299031399
3110,-4.017383521085966,-26.713868003538206,-6.214608098422136,-3.9120230054281406,-5.80914299031399,-4.074541934925914,-6.214608098422136,-6.907755278982026,-6.214608098422136
